Customer Key,First Name,Last Name,Full Name,Gender,Email,Date First Purchase,City
11026,Harold,Sai,"Sai, Harold",Male,harold3@adventure-works.com,1/23/2022,Goulburn
11027,Jessie,Zhao,"Zhao, Jessie",Male,jessie16@adventure-works.com,1/16/2022,Warrnambool
11028,Jill,Jimenez,"Jimenez, Jill",Female,jill13@adventure-works.com,1/26/2022,St. Leonards
11029,Jimmy,Moreno,"Moreno, Jimmy",Male,jimmy9@adventure-works.com,1/19/2022,Bendigo
11030,Bethany,Yuan,"Yuan, Bethany",Female,bethany10@adventure-works.com,2/5/2022,Cloverdale
11031,Theresa,Ramos,"Ramos, Theresa",Female,theresa13@adventure-works.com,2/1/2022,Matraville
11032,Denise,Stone,"Stone, Denise",Female,denise10@adventure-works.com,2/18/2022,Melbourne
11033,Jaime,Nath,"Nath, Jaime",Male,jaime41@adventure-works.com,2/15/2022,Milsons Point
11034,Ebony,Gonzalez,"Gonzalez, Ebony",Female,ebony19@adventure-works.com,2/1/2022,North Sydney
11035,Wendy,Dominguez,"Dominguez, Wendy",Female,wendy12@adventure-works.com,2/6/2022,Cranbourne
11036,Jennifer,Russell,"Russell, Jennifer",Female,jennifer93@adventure-works.com,1/22/2024,National City
11037,Chloe,Garcia,"Garcia, Chloe",Female,chloe27@adventure-works.com,1/20/2024,Cliffside
11038,Diana,Hernandez,"Hernandez, Diana",Female,diana2@adventure-works.com,2/7/2022,Lavender Bay
11039,Marc,Martin,"Martin, Marc",Male,marc3@adventure-works.com,2/7/2022,Wollongong
11040,Jesse,Murphy,"Murphy, Jesse",Male,jesse15@adventure-works.com,4/3/2024,Tacoma
11041,Amanda,Carter,"Carter, Amanda",Female,amanda53@adventure-works.com,1/14/2024,Glendale
11042,Megan,Sanchez,"Sanchez, Megan",Female,megan28@adventure-works.com,1/21/2024,Los Angeles
11043,Nathan,Simmons,"Simmons, Nathan",Male,nathan11@adventure-works.com,5/8/2024,Glendale
11044,Adam,Flores,"Flores, Adam",Male,adam10@adventure-works.com,2/28/2022,Hervey Bay
11045,Leonard,Nara,"Nara, Leonard",Male,leonard18@adventure-works.com,4/10/2024,Matraville
11046,Christine,Yuan,"Yuan, Christine",Female,christine4@adventure-works.com,2/6/2022,Lavender Bay
11047,Jaclyn,Lu,"Lu, Jaclyn",Female,jaclyn12@adventure-works.com,2/3/2022,Geelong
11048,Jeremy,Powell,"Powell, Jeremy",Male,jeremy26@adventure-works.com,2/10/2022,Sunbury
11049,Carol,Rai,"Rai, Carol",Female,carol8@adventure-works.com,3/9/2024,Chula Vista
11050,Alan,Zheng,"Zheng, Alan",Male,alan23@adventure-works.com,2/20/2022,Hobart
11051,Daniel,Johnson,"Johnson, Daniel",Male,daniel18@adventure-works.com,12/29/2024,Caloundra
11052,Heidi,Lopez,"Lopez, Heidi",Female,heidi19@adventure-works.com,2/17/2022,Matraville
11053,Ana,Price,"Price, Ana",Female,ana0@adventure-works.com,1/17/2024,San Diego
11054,Deanna,Munoz,"Munoz, Deanna",Female,deanna33@adventure-works.com,2/3/2022,Geelong
11055,Gilbert,Raje,"Raje, Gilbert",Male,gilbert35@adventure-works.com,1/31/2022,East Brisbane
11056,Michele,Nath,"Nath, Michele",Female,michele19@adventure-works.com,2/26/2022,Newcastle
11057,Carl,Andersen,"Andersen, Carl",Male,carl12@adventure-works.com,2/22/2022,Lane Cove
11058,Marc,Diaz,"Diaz, Marc",Male,marc6@adventure-works.com,3/9/2022,Findon
11059,Ashlee,Andersen,"Andersen, Ashlee",Female,ashlee19@adventure-works.com,2/18/2024,Townsville
11060,Jon,Zhou,"Zhou, Jon",Male,jon28@adventure-works.com,3/19/2022,Warrnambool
11061,Todd,Gao,"Gao, Todd",Male,todd14@adventure-works.com,3/13/2022,Gold Coast
11062,Noah,Powell,"Powell, Noah",Male,noah5@adventure-works.com,1/7/2024,Portland
11063,Angela,Murphy,"Murphy, Angela",Female,angela41@adventure-works.com,1/12/2024,Redmond
11064,Chase,Reed,"Reed, Chase",Male,chase21@adventure-works.com,1/25/2024,Downey
11065,Jessica,Henderson,"Henderson, Jessica",Female,jessica29@adventure-works.com,2/10/2024,La Jolla
11066,Grace,Butler,"Butler, Grace",Female,grace62@adventure-works.com,5/31/2024,Lebanon
11067,Caleb,Carter,"Carter, Caleb",Male,caleb40@adventure-works.com,8/18/2024,Port Orchard
11068,Tiffany,Liang,"Liang, Tiffany",Female,tiffany17@adventure-works.com,4/30/2024,Warrnambool
11069,Carolyn,Navarro,"Navarro, Carolyn",Female,carolyn30@adventure-works.com,4/17/2022,Gold Coast
11070,Willie,Raji,"Raji, Willie",Male,willie40@adventure-works.com,4/28/2022,Sunbury
11071,Linda,Serrano,"Serrano, Linda",Female,linda31@adventure-works.com,3/1/2024,Hawthorne
11072,Casey,Luo,"Luo, Casey",Female,casey6@adventure-works.com,3/31/2022,St. Leonards
11073,Amy,Ye,"Ye, Amy",Female,amy16@adventure-works.com,3/23/2024,Springwood
11074,Levi,Arun,"Arun, Levi",Male,levi6@adventure-works.com,3/23/2024,Cloverdale
11075,Felicia,Jimenez,"Jimenez, Felicia",Female,felicia4@adventure-works.com,4/28/2022,Bendigo
11076,Blake,Anderson,"Anderson, Blake",Male,blake9@adventure-works.com,4/21/2022,Wollongong
11077,Leah,Ye,"Ye, Leah",Female,leah7@adventure-works.com,4/15/2022,Melton
11078,Gina,Martin,"Martin, Gina",Female,gina1@adventure-works.com,2/15/2024,Cliffside
11079,Donald,Gonzalez,"Gonzalez, Donald",Male,donald20@adventure-works.com,3/15/2024,Geelong
11080,Damien,Chander,"Chander, Damien",Male,damien32@adventure-works.com,4/10/2022,Perth
11081,Savannah,Baker,"Baker, Savannah",Female,savannah39@adventure-works.com,2/12/2024,Concord
11082,Angela,Butler,"Butler, Angela",Female,angela17@adventure-works.com,1/22/2024,Fremont
11083,Alyssa,Cox,"Cox, Alyssa",Female,alyssa37@adventure-works.com,1/6/2024,Lincoln Acres
11084,Lucas,Phillips,"Phillips, Lucas",Male,lucas7@adventure-works.com,1/4/2024,Lebanon
11085,Emily,Johnson,"Johnson, Emily",Female,emily1@adventure-works.com,12/6/2024,Newport Beach
11086,Ryan,Brown,"Brown, Ryan",Male,ryan43@adventure-works.com,7/2/2024,Santa Monica
11087,Tamara,Liang,"Liang, Tamara",Female,tamara6@adventure-works.com,2/25/2024,Chula Vista
11088,Hunter,Davis,"Davis, Hunter",Male,hunter64@adventure-works.com,1/13/2024,San Diego
11089,Abigail,Price,"Price, Abigail",Female,abigail25@adventure-works.com,12/29/2023,Long Beach
11090,Trevor,Bryant,"Bryant, Trevor",Male,trevor18@adventure-works.com,8/7/2022,Los Angeles
11091,Dalton,Perez,"Perez, Dalton",Male,dalton37@adventure-works.com,1/29/2024,Haney
11092,Cheryl,Diaz,"Diaz, Cheryl",Female,cheryl4@adventure-works.com,4/8/2022,East Brisbane
11093,Aimee,He,"He, Aimee",Female,aimee13@adventure-works.com,4/7/2022,Wollongong
11094,Cedric,Ma,"Ma, Cedric",Male,cedric15@adventure-works.com,4/7/2024,Cranbourne
11095,Chad,Kumar,"Kumar, Chad",Male,chad9@adventure-works.com,4/1/2022,Port Macquarie
11096,Andrés,Anand,"Anand, Andrés",Male,andrés18@adventure-works.com,4/11/2022,North Sydney
11097,Edwin,Nara,"Nara, Edwin",Male,edwin39@adventure-works.com,4/4/2022,Warrnambool
11098,Mallory,Rubio,"Rubio, Mallory",Female,mallory7@adventure-works.com,2/11/2024,Rhodes
11099,Adam,Ross,"Ross, Adam",Male,adam2@adventure-works.com,4/7/2022,Port Macquarie
11100,Latasha,Navarro,"Navarro, Latasha",Female,latasha10@adventure-works.com,4/16/2022,Cloverdale
11101,Abby,Sai,"Sai, Abby",Female,abby4@adventure-works.com,4/29/2022,Cranbourne
11102,Julia,Nelson,"Nelson, Julia",Female,julia7@adventure-works.com,7/16/2024,Sydney
11103,Cassie,Chande,"Chande, Cassie",Female,cassie13@adventure-works.com,4/15/2022,Darlinghurst
11104,Edgar,Sara,"Sara, Edgar",Male,edgar11@adventure-works.com,5/4/2022,Gold Coast
11105,Candace,Fernandez,"Fernandez, Candace",Female,candace15@adventure-works.com,5/14/2022,Matraville
11106,Jessie,Liu,"Liu, Jessie",Male,jessie9@adventure-works.com,5/18/2022,Warrnambool
11107,Bianca,Lin,"Lin, Bianca",Female,bianca7@adventure-works.com,5/1/2022,St. Leonards
11108,Kari,Alvarez,"Alvarez, Kari",Female,kari25@adventure-works.com,5/3/2022,Port Macquarie
11109,Ruben,Kapoor,"Kapoor, Ruben",Male,ruben1@adventure-works.com,5/10/2022,South Melbourne
11110,Curtis,Yang,"Yang, Curtis",Male,curtis5@adventure-works.com,5/1/2022,Darlinghurst
11111,Meredith,Gutierrez,"Gutierrez, Meredith",Female,meredith34@adventure-works.com,5/20/2022,Geelong
11112,Crystal,Wang,"Wang, Crystal",Female,crystal3@adventure-works.com,5/25/2022,Hervey Bay
11113,Micheal,Blanco,"Blanco, Micheal",Male,micheal11@adventure-works.com,2/1/2024,Perth
11114,Leslie,Moreno,"Moreno, Leslie",Female,leslie7@adventure-works.com,3/18/2024,Rhodes
11115,Alvin,Cai,"Cai, Alvin",Male,alvin20@adventure-works.com,2/10/2024,St. Leonards
11116,Clinton,Carlson,"Carlson, Clinton",Male,clinton14@adventure-works.com,3/15/2024,Sydney
11117,April,Deng,"Deng, April",Female,april1@adventure-works.com,5/6/2022,Matraville
11118,Alvin,Zeng,"Zeng, Alvin",Male,alvin21@adventure-works.com,7/10/2024,Lavender Bay
11119,Evan,James,"James, Evan",Male,evan8@adventure-works.com,2/3/2024,Port Macquarie
11120,Beth,Jiménez,"Jiménez, Beth",Female,beth8@adventure-works.com,5/14/2022,Sydney
11121,Orlando,Suarez,"Suarez, Orlando",Male,orlando19@adventure-works.com,6/24/2024,Newcastle
11122,Byron,Vazquez,"Vazquez, Byron",Male,byron9@adventure-works.com,2/21/2024,North Sydney
11123,Philip,Alvarez,"Alvarez, Philip",Male,philip4@adventure-works.com,4/17/2024,Sunbury
11124,Ross,Jordan,"Jordan, Ross",Male,ross1@adventure-works.com,5/5/2022,Warrnambool
11125,Dana,Navarro,"Navarro, Dana",Female,dana2@adventure-works.com,1/31/2024,Seaford
11126,Shaun,Carson,"Carson, Shaun",Male,shaun16@adventure-works.com,5/28/2022,North Ryde
11127,Jan,Edwards,"Edwards, Jan",Female,jan11@adventure-works.com,4/10/2024,San Gabriel
11128,Samantha,Long,"Long, Samantha",Female,samantha35@adventure-works.com,6/19/2024,Renton
11129,Julia,Wright,"Wright, Julia",Female,julia17@adventure-works.com,8/6/2022,Sedro Woolley
11130,Caroline,Russell,"Russell, Caroline",Female,caroline21@adventure-works.com,12/9/2024,Lebanon
11131,Amanda,Rivera,"Rivera, Amanda",Female,amanda7@adventure-works.com,10/18/2024,Haney
11132,Melissa,Richardson,"Richardson, Melissa",Female,melissa31@adventure-works.com,4/9/2024,Langford
11133,Angela,Griffin,"Griffin, Angela",Female,angela23@adventure-works.com,12/30/2024,Lake Oswego
11134,Larry,Townsend,"Townsend, Larry",Male,larry14@adventure-works.com,5/3/2022,Perth
11135,Marcus,Harris,"Harris, Marcus",Male,marcus14@adventure-works.com,4/18/2024,Burlingame
11136,Brianna,Morgan,"Morgan, Brianna",Female,brianna30@adventure-works.com,1/3/2024,Metchosin
11137,Jasmine,Taylor,"Taylor, Jasmine",Female,jasmine7@adventure-works.com,7/31/2024,Spokane
11138,Lauren,Davis,"Davis, Lauren",Female,lauren23@adventure-works.com,9/19/2024,Glendale
11139,Tanya,Moreno,"Moreno, Tanya",Female,tanya2@adventure-works.com,9/14/2024,Cloverdale
11140,Javier,Alvarez,"Alvarez, Javier",Male,javier1@adventure-works.com,3/19/2024,Burbank
11141,Nicole,Ramirez,"Ramirez, Nicole",Female,nicole42@adventure-works.com,5/16/2024,Daly City
11142,Eduardo,Patterson,"Patterson, Eduardo",Male,eduardo55@adventure-works.com,2/13/2024,Langford
11143,Jonathan,Henderson,"Henderson, Jonathan",Male,jonathan4@adventure-works.com,6/15/2024,Lakewood
11144,Edward,Hernandez,"Hernandez, Edward",Male,edward48@adventure-works.com,1/25/2024,Ballard
11145,Jasmine,Coleman,"Coleman, Jasmine",Female,jasmine46@adventure-works.com,1/25/2024,Beaverton
11146,Karla,Goel,"Goel, Karla",Female,karla20@adventure-works.com,2/5/2024,Matraville
11147,Ernest,Wu,"Wu, Ernest",Male,ernest6@adventure-works.com,5/13/2022,Warrnambool
11148,Ross,Vazquez,"Vazquez, Ross",Male,ross32@adventure-works.com,3/7/2024,East Brisbane
11149,Theodore,Gill,"Gill, Theodore",Male,theodore14@adventure-works.com,6/4/2024,Hervey Bay
11150,Russell,Shen,"Shen, Russell",Male,russell6@adventure-works.com,3/27/2024,Sunbury
11151,Melinda,Gill,"Gill, Melinda",Female,melinda9@adventure-works.com,5/15/2022,Sydney
11152,James,Williams,"Williams, James",Male,james77@adventure-works.com,1/9/2024,Puyallup
11153,Angela,James,"James, Angela",Female,angela34@adventure-works.com,3/29/2024,Renton
11154,Megan,Walker,"Walker, Megan",Female,megan25@adventure-works.com,1/10/2024,Woodburn
11155,Hunter,Robinson,"Robinson, Hunter",Male,hunter50@adventure-works.com,1/6/2024,Burbank
11156,Maria,Roberts,"Roberts, Maria",Female,maria47@adventure-works.com,1/8/2024,Lakewood
11157,Hannah,Long,"Long, Hannah",Female,hannah32@adventure-works.com,7/24/2024,Tacoma
11158,Jason,Wright,"Wright, Jason",Male,jason46@adventure-works.com,1/19/2024,San Gabriel
11159,Brianna,Hughes,"Hughes, Brianna",Female,brianna57@adventure-works.com,9/8/2024,Woodland Hills
11160,Maurice,Tang,"Tang, Maurice",Male,maurice4@adventure-works.com,2/21/2024,Concord
11161,Emily,Wood,"Wood, Emily",Female,emily27@adventure-works.com,6/1/2024,Concord
11162,Chase,Cox,"Cox, Chase",Male,chase10@adventure-works.com,2/18/2024,La Jolla
11163,Gabriel,Wang,"Wang, Gabriel",Male,gabriel21@adventure-works.com,5/1/2024,Spring Valley
11164,Devin,Brooks,"Brooks, Devin",Male,devin63@adventure-works.com,4/27/2024,Torrance
11165,Jocelyn,Alexander,"Alexander, Jocelyn",Female,jocelyn18@adventure-works.com,5/25/2024,Oakland
11166,Ashley,Martinez,"Martinez, Ashley",Female,ashley18@adventure-works.com,10/14/2024,Olympia
11167,Jasmine,Barnes,"Barnes, Jasmine",Female,jasmine43@adventure-works.com,1/7/2024,Issaquah
11168,David,Rodriguez,"Rodriguez, David",Male,david83@adventure-works.com,1/15/2024,Oakland
11169,Bryce,Richardson,"Richardson, Bryce",Male,bryce8@adventure-works.com,5/26/2024,Coronado
11170,Carol,Howard,"Howard, Carol",Female,carol5@adventure-works.com,8/26/2024,Burien
11171,Jonathan,Hill,"Hill, Jonathan",Male,jonathan43@adventure-works.com,8/20/2022,Woodland Hills
11172,Gabrielle,Adams,"Adams, Gabrielle",Female,gabrielle58@adventure-works.com,5/3/2024,Lynnwood
11173,Sarah,Thomas,"Thomas, Sarah",Female,sarah13@adventure-works.com,3/2/2024,W. Linn
11174,Nicholas,Robinson,"Robinson, Nicholas",Male,nicholas19@adventure-works.com,7/13/2024,Los Angeles
11175,Luis,Wang,"Wang, Luis",Male,luis24@adventure-works.com,8/28/2022,Beverly Hills
11176,Mason,Roberts,"Roberts, Mason",Male,mason25@adventure-works.com,2/2/2024,Haney
11177,Jose,Flores,"Flores, Jose",Male,jose6@adventure-works.com,3/29/2024,San Diego
11178,Nathan,Johnson,"Johnson, Nathan",Male,nathan55@adventure-works.com,2/21/2024,Lakewood
11179,Molly,Rodriguez,"Rodriguez, Molly",Female,molly18@adventure-works.com,3/12/2024,Beverly Hills
11180,April,Anand,"Anand, April",Female,april18@adventure-works.com,3/17/2024,Chula Vista
11181,Devin,Martin,"Martin, Devin",Male,devin13@adventure-works.com,5/7/2024,Los Angeles
11182,Stephanie,Torres,"Torres, Stephanie",Female,stephanie19@adventure-works.com,8/28/2024,Sedro Woolley
11183,Jasmine,Lee,"Lee, Jasmine",Female,jasmine19@adventure-works.com,4/30/2024,Santa Cruz
11184,Meghan,Hernandez,"Hernandez, Meghan",Female,meghan3@adventure-works.com,8/10/2024,Concord
11185,Ashley,Henderson,"Henderson, Ashley",Female,ashley31@adventure-works.com,2/21/2024,Metchosin
11186,Sarah,Price,"Price, Sarah",Female,sarah25@adventure-works.com,10/18/2024,Palo Alto
11187,Jennifer,Cooper,"Cooper, Jennifer",Female,jennifer63@adventure-works.com,4/3/2024,Burien
11188,Catherine,Morris,"Morris, Catherine",Female,catherine16@adventure-works.com,11/1/2024,San Gabriel
11189,Lawrence,Blanco,"Blanco, Lawrence",Male,lawrence14@adventure-works.com,8/26/2022,Bellingham
11190,Carson,Bryant,"Bryant, Carson",Male,carson17@adventure-works.com,8/28/2024,Beverly Hills
11191,Kristi,Perez,"Perez, Kristi",Female,kristi39@adventure-works.com,8/11/2022,Colma
11192,James,Brown,"Brown, James",Male,james79@adventure-works.com,6/23/2024,Seattle
11193,Ian,Gray,"Gray, Ian",Male,ian72@adventure-works.com,2/25/2024,Woodburn
11194,Jacqueline,Price,"Price, Jacqueline",Female,jacqueline0@adventure-works.com,3/13/2024,Palo Alto
11195,Megan,Henderson,"Henderson, Megan",Female,megan55@adventure-works.com,4/14/2024,Renton
11196,Alfredo,Romero,"Romero, Alfredo",Male,alfredo10@adventure-works.com,3/3/2024,Beaverton
11197,Andrea,Morris,"Morris, Andrea",Female,andrea18@adventure-works.com,5/2/2024,Seattle
11198,Brooke,Sanders,"Sanders, Brooke",Female,brooke3@adventure-works.com,2/5/2024,Santa Cruz
11199,Jacqueline,Bennett,"Bennett, Jacqueline",Female,jacqueline1@adventure-works.com,3/18/2024,Burlingame
11200,Jason,Griffin,"Griffin, Jason",Male,jason18@adventure-works.com,2/7/2024,Victoria
11201,Amanda,Foster,"Foster, Amanda",Female,amanda37@adventure-works.com,7/1/2024,Santa Monica
11202,Alexia,Price,"Price, Alexia",Female,alexia0@adventure-works.com,9/15/2024,Lakewood
11203,Luis,Diaz,"Diaz, Luis",Male,luis21@adventure-works.com,2/20/2024,Port Hammond
11204,Destiny,Rivera,"Rivera, Destiny",Female,destiny33@adventure-works.com,8/9/2024,Beaverton
11205,Abby,Fernandez,"Fernandez, Abby",Female,abby13@adventure-works.com,7/27/2024,Burien
11206,Blake,Flores,"Flores, Blake",Male,blake60@adventure-works.com,5/11/2024,Lynnwood
11207,Danielle,Cox,"Cox, Danielle",Female,danielle12@adventure-works.com,1/31/2024,Renton
11208,Maria,Reed,"Reed, Maria",Female,maria4@adventure-works.com,3/4/2024,Glendale
11209,Allison,Evans,"Evans, Allison",Female,allison21@adventure-works.com,3/25/2024,Lincoln Acres
11210,Edward,Wood,"Wood, Edward",Male,edward50@adventure-works.com,5/6/2024,West Covina
11211,Samantha,Russell,"Russell, Samantha",Female,samantha42@adventure-works.com,2/1/2024,Haney
11212,Chloe,Campbell,"Campbell, Chloe",Female,chloe4@adventure-works.com,1/30/2024,Metchosin
11213,Stephanie,Murphy,"Murphy, Stephanie",Female,stephanie11@adventure-works.com,3/28/2024,Edmonds
11214,Charles,Miller,"Miller, Charles",Male,charles9@adventure-works.com,8/14/2024,Milwaukie
11215,Ana,Perry,"Perry, Ana",Female,ana7@adventure-works.com,2/15/2024,Royal Oak
11216,Jasmine,Torres,"Torres, Jasmine",Female,jasmine32@adventure-works.com,8/15/2022,Portland
11217,Natalie,Adams,"Adams, Natalie",Female,natalie58@adventure-works.com,8/10/2022,Portland
11218,Olivia,Brown,"Brown, Olivia",Female,olivia4@adventure-works.com,2/28/2024,Tacoma
11219,Charles,Cook,"Cook, Charles",Male,charles69@adventure-works.com,10/29/2024,Woodburn
11220,Erica,Huang,"Huang, Erica",Female,erica5@adventure-works.com,3/14/2024,Colma
11221,Nathan,Perry,"Perry, Nathan",Male,nathan3@adventure-works.com,4/7/2024,Lakewood
11222,Alexandra,Rivera,"Rivera, Alexandra",Female,alexandra11@adventure-works.com,11/1/2024,Santa Monica
11223,Hailey,Patterson,"Patterson, Hailey",Female,hailey30@adventure-works.com,1/29/2024,Langley
11224,Tiffany,Li,"Li, Tiffany",Female,tiffany3@adventure-works.com,8/7/2022,Burien
11225,Madison,Lee,"Lee, Madison",Female,madison22@adventure-works.com,6/22/2024,Renton
11226,Sydney,Ross,"Ross, Sydney",Female,sydney26@adventure-works.com,2/21/2024,W. Linn
11227,Marshall,Chavez,"Chavez, Marshall",Male,marshall35@adventure-works.com,8/3/2022,Colma
11228,Ashley,Jones,"Jones, Ashley",Female,ashley3@adventure-works.com,10/25/2024,El Cajon
11229,Adrian,Stewart,"Stewart, Adrian",Male,adrian21@adventure-works.com,7/27/2024,Redwood City
11230,Amber,Turner,"Turner, Amber",Female,amber4@adventure-works.com,7/16/2024,Santa Monica
11231,Dennis,Zhang,"Zhang, Dennis",Male,dennis1@adventure-works.com,2/10/2024,Bremerton
11232,Hailey,Bryant,"Bryant, Hailey",Female,hailey38@adventure-works.com,9/20/2024,Everett
11233,Todd,Li,"Li, Todd",Male,todd5@adventure-works.com,2/8/2024,Berkeley
11234,Anna,Griffin,"Griffin, Anna",Female,anna46@adventure-works.com,2/8/2024,Long Beach
11235,Angel,Stewart,"Stewart, Angel",Male,angel24@adventure-works.com,7/4/2024,Ballard
11236,Jeremy,Butler,"Butler, Jeremy",Male,jeremy29@adventure-works.com,10/3/2024,Bellingham
11237,Clarence,Anand,"Anand, Clarence",Male,clarence36@adventure-works.com,9/5/2022,Solingen
11238,Mayra,Prasad,"Prasad, Mayra",Female,mayra9@adventure-works.com,1/6/2022,Birmingham
11239,Latoya,Goel,"Goel, Latoya",Female,latoya18@adventure-works.com,1/19/2022,London
11240,Anne,Hernandez,"Hernandez, Anne",Female,anne4@adventure-works.com,2/27/2022,Watford
11241,Lisa,Cai,"Cai, Lisa",Female,lisa24@adventure-works.com,9/10/2023,Les Ulis
11242,Larry,Munoz,"Munoz, Larry",Male,larry9@adventure-works.com,9/19/2023,Versailles
11243,Robin,Alvarez,"Alvarez, Robin",Female,robin2@adventure-works.com,2/21/2022,Esher-Molesey
11244,Alexis,Coleman,"Coleman, Alexis",Female,alexis28@adventure-works.com,2/12/2022,Runcorn
11245,Ricky,Vazquez,"Vazquez, Ricky",Male,ricky15@adventure-works.com,9/26/2022,Hamburg
11246,Latasha,Rubio,"Rubio, Latasha",Female,latasha21@adventure-works.com,10/3/2022,Hamburg
11247,Claudia,Zhou,"Zhou, Claudia",Female,claudia7@adventure-works.com,2/18/2022,Lancaster
11248,Tristan,Alexander,"Alexander, Tristan",Male,tristan19@adventure-works.com,7/14/2024,Saint-Denis
11249,Cindy,Patel,"Patel, Cindy",Female,cindy3@adventure-works.com,10/9/2022,Sulzbach Taunus
11250,Shannon,Liu,"Liu, Shannon",Female,shannon4@adventure-works.com,3/17/2022,Woolston
11251,Xavier,Long,"Long, Xavier",Male,xavier51@adventure-works.com,10/18/2024,Haney
11252,Nicholas,Thompson,"Thompson, Nicholas",Male,nicholas16@adventure-works.com,8/14/2022,Lemon Grove
11253,José,Hernandez,"Hernandez, José",Male,josé54@adventure-works.com,3/1/2024,Victoria
11254,Johnathan,Vance,"Vance, Johnathan",Male,johnathan5@adventure-works.com,11/23/2024,Burien
11255,Colin,Lin,"Lin, Colin",Male,colin8@adventure-works.com,2/23/2024,Burien
11256,Katelyn,Hernandez,"Hernandez, Katelyn",Female,katelyn42@adventure-works.com,4/15/2024,Lynnwood
11257,Jacqueline,Powell,"Powell, Jacqueline",Female,jacqueline9@adventure-works.com,8/24/2022,Newport Beach
11258,Xavier,Hill,"Hill, Xavier",Male,xavier26@adventure-works.com,5/21/2024,Palo Alto
11259,Victoria,Stewart,"Stewart, Victoria",Female,victoria24@adventure-works.com,9/4/2022,Salem
11260,Katelyn,Kelly,"Kelly, Katelyn",Female,katelyn1@adventure-works.com,2/5/2024,Burlingame
11261,Stephanie,Collins,"Collins, Stephanie",Female,stephanie52@adventure-works.com,9/27/2022,San Diego
11262,Jennifer,Simmons,"Simmons, Jennifer",Female,jennifer88@adventure-works.com,2/27/2024,Port Hammond
11263,Trinity,Richardson,"Richardson, Trinity",Female,trinity9@adventure-works.com,8/29/2022,Burien
11264,Eduardo,Martin,"Martin, Eduardo",Male,eduardo13@adventure-works.com,1/2/2024,Issaquah
11265,Elizabeth,Jones,"Jones, Elizabeth",Female,elizabeth7@adventure-works.com,1/3/2024,Kirkland
11266,Taylor,Howard,"Howard, Taylor",Female,taylor14@adventure-works.com,9/10/2022,Port Orchard
11267,David,Diaz,"Diaz, David",Male,david55@adventure-works.com,9/17/2022,Burlingame
11268,Katelyn,Carter,"Carter, Katelyn",Female,katelyn33@adventure-works.com,5/29/2024,Coronado
11269,Ryan,Foster,"Foster, Ryan",Male,ryan19@adventure-works.com,8/22/2024,Daly City
11270,Robert,Lee,"Lee, Robert",Male,robert82@adventure-works.com,9/10/2022,Lakewood
